Occupation,ACEScore,Kmax,ThinkingCreatively
Helpers--Painters Paperhangers Plasterers and Stucco Masons,0,32,14
Helpers--Pipelayers Plumbers Pipefitters and Steamfitters,0,59,54
Helpers--Production Workers,0,21,21
Helpers--Roofers,0,43,48
Highway Maintenance Workers,0,47,26
Historians,18.8,60,41
History Teachers Postsecondary,25,95,64
Histotechnologists and Histologic Technicians,0,0,0
Hoist and Winch Operators,0,35,20
Home Appliance Repairers,0,57,30
Home Economics Teachers Postsecondary,0,79,62
Home Health Aides,0,41,33
Hospitalists,0,0,0
Hosts and Hostesses Restaurant Lounge and Coffee Shop,0,48,11
Hotel Motel and Resort Desk Clerks,0,62,24
Human Factors Engineers and Ergonomists,0,0,0
Human Resources Assistants Except Payroll and Timekeeping,0,64,25
Human Resources Managers,0,0,0
Human Resources Specialists,0,72,33
Hunters and Trappers,0,0,0
Hydrologists,18.8,0,0
Immigration and Customs Inspectors,0,57,34
Industrial Engineering Technicians,0,67,59
Industrial Engineering Technologists,0,59,38
Industrial Engineers,12.5,65,58
Industrial Machinery Mechanics,0,75,25
Industrial Production Managers,0,77,51
Industrial Safety and Health Engineers,0,0,0
Industrial Truck and Tractor Operators,0,33,24
Industrial-Organizational Psychologists,12.5,88,57
Informatics Nurse Specialists,0,0,0
Information Security Analysts,0,88,51
Information Technology Project Managers,0,0,0
Inspectors Testers Sorters Samplers and Weighers,0,33,17
Instructional Coordinators,12.5,94,58
Instructional Designers and Technologists,0,0,0
Insulation Workers Floor Ceiling and Wall,0,50,24
Insulation Workers Mechanical,0,38,33
Insurance Adjusters Examiners and Investigators,0,66,20
Insurance Appraisers Auto Damage,0,64,13
Insurance Claims Clerks,0,70,8
Insurance Policy Processing Clerks,0,74,14
Insurance Sales Agents,0,76,29
Insurance Underwriters,0,0,0
Intelligence Analysts,0,0,0
Interior Designers,100,0,0
Internists General,0,90,48
Interpreters and Translators,0,93,38
Interviewers Except Eligibility and Loan,0,34,9
Investment Fund Managers,0,73,51
Janitors and Cleaners Except Maids and Housekeeping Cleaners,0,24,13
Jewelers,0,0,0
Judges Magistrate Judges and Magistrates,0,84,39
Judicial Law Clerks,0,76,26
Kindergarten Teachers Except Special Education,12.5,46,54
Laborers and Freight Stock and Material Movers Hand,0,19,9
Landscape Architects,100,0,0
Landscaping and Groundskeeping Workers,0,36,24
Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic,0,53,26
Laundry and Dry-Cleaning Workers,0,39,8
Law Teachers Postsecondary,0,94,60
Lawyers,12.5,92,58
Layout Workers Metal and Plastic,0,54,33
Legal Secretaries,0,84,26
Librarians,81.3,64,35
Library Assistants Clerical,12.5,62,28
Library Science Teachers Postsecondary,25,87,82
Library Technicians,81.3,59,20
License Clerks,0,59,10
Licensed Practical and Licensed Vocational Nurses,0,67,30
Licensing Examiners and Inspectors,0,66,21
Lifeguards Ski Patrol and Other Recreational Protective Service Workers,0,73,9
